N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
69,메리츠화재,"43,800","1,250",+2.94%,500,"52,834","120,625",10.77,"495,651",9.09,16.91,
70,강원랜드,"24,600",150,+0.61%,500,"52,629","213,940",18.83,"464,670",-159.74,-7.92,
71,삼성중공업,"5,870",30,-0.51%,"1,000","51,656","880,000",14.51,"3,029,731",-2.39,-33.06,
72,금호석유,"165,500","9,500",-5.43%,"5,000","50,140","30,296",18.81,"263,447",2.96,20.18,
73,일진머티리얼즈,"108,500","3,000",-2.69%,500,"50,030","46,111",12.89,"317,512",78.74,7.23,
74,현대건설,"44,800","1,100",-2.40%,"5,000","49,887","111,356",22.09,"909,563",29.79,1.84,
75,한국타이어앤테크놀로지,"39,000",750,-1.89%,500,"48,311","123,875",41.41,"166,606",7.31,5.12,
76,삼성엔지니어링,"24,250",100,-0.41%,"5,000","47,530","196,000",35.93,"1,172,221",13.42,17.32,
77,DB손해보험,"63,900",500,-0.78%,500,"45,241","70,800",42.82,"196,882",5.68,9.08,
78,한국금융지주,"78,600","2,000",-2.48%,"5,000","43,801","55,726",34.40,"181,648",2.69,16.27,
79,유한양행,"61,400",900,+1.49%,"1,000","42,963","69,973",17.11,"1,557,997",46.55,11.06,
80,현대중공업지주,"53,700","1,400",-2.54%,"1,000","42,419","78,993",16.51,"189,831",-12.45,-8.12,
81,두산밥캣,"42,100",500,-1.17%,500,"42,205","100,249",25.15,"148,006",11.52,6.15,
82,오리온,"105,000","2,000",-1.87%,500,"41,513","39,536",37.37,"82,289",17.46,15.50,
83,이마트,"146,500","2,500",-1.68%,"5,000","40,838","27,876",33.50,"87,427",2.95,4.05,
84,쌍용C&E,"8,040",30,+0.37%,100,"40,510","503,860",3.39,"1,133,126",19.66,7.92,
85,메리츠증권,"5,790",170,+3.02%,"1,000","39,472","681,731",13.21,"3,865,074",5.88,13.08,
86,한진칼,"57,400",800,-1.37%,"2,500","38,308","66,739",14.49,"52,730",-65.38,-19.55,
87,삼성증권,"42,150",500,-1.17%,"5,000","37,640","89,300",29.20,"336,217",3.97,9.89,
88,GS건설,"43,850",500,-1.13%,"5,000","37,527","85,581",25.68,"650,853",10.68,7.68,
89,현대차2우B,"101,500","1,000",+1.00%,"5,000","37,033","36,485",61.84,"65,577",5.14,N/A,
90,GS,"39,700",100,-0.25%,"5,000","36,887","92,915",18.72,"210,753",3.60,-2.82,
91,삼성카드,"31,450",100,-0.32%,"5,000","36,438","115,859",7.09,"102,018",7.76,5.69,
92,현대오토에버,"129,500","5,500",-4.07%,500,"35,514","27,424",2.16,"188,818",47.01,11.09,
93,NH투자증권,"11,900",50,-0.42%,"5,000","35,347","297,034",17.45,"824,684",4.37,10.32,
94,DB하이텍,"78,000",0,0.00%,"5,000","34,631","44,399",24.84,"1,824,784",16.29,23.07,
95,한국가스공사,"37,300",150,+0.40%,"5,000","34,433","92,313",10.49,"184,283",7.75,-2.24,
96,한미사이언스,"50,600",600,+1.20%,500,"34,056","67,305",1.15,"71,471",64.13,3.47,
97,아모레G,"41,200","1,400",-3.29%,500,"33,973","82,458",15.95,"235,106",23.13,0.31,
98,한국항공우주,"33,900",100,+0.30%,"5,000","33,044","97,475",13.08,"722,275",230.61,6.39,
99,KCC,"370,000","1,500",+0.41%,"5,000","32,880","8,886",12.22,"105,427",4.67,12.79,
100,현대미포조선,"81,200",500,-0.61%,"5,000","32,433","39,942",11.33,"319,286",-21.10,-0.84,
101,한미약품,"264,000","1,500",+0.57%,"2,500","31,887","12,078",13.31,"19,029",42.05,1.65,
102,한화시스템,"16,800",250,-1.47%,"5,000","31,738","188,919",2.10,"622,315",20.36,9.35,
103,TIGER 차이나전기차SOLACTIVE,"16,015",195,-1.20%,0,"31,063","193,960",0.10,"4,037,105",N/A,N/A,
104,GS리테일,"29,150",200,-0.68%,"1,000","30,525","104,718",8.14,"134,952",2.94,7.50,
105,한솔케미칼,"269,000","4,000",-1.47%,"5,000","30,492","11,335",42.82,"61,560",20.99,24.50,
106,롯데지주,"28,700",300,-1.03%,200,"30,109","104,909",7.82,"222,730",14.96,-3.03,
107,동서,"30,150",0,0.00%,500,"30,060","99,700",2.84,"61,721",28.31,8.61,
108,팬오션,"5,560",240,-4.14%,"1,000","29,722","534,570",11.56,"3,625,847",9.55,3.25,
109,한전기술,"77,600","1,200",-1.52%,200,"29,659","38,220",1.51,"436,203",291.73,N/A,
110,호텔신라,"74,600",200,+0.27%,"5,000","29,279","39,248",12.54,"296,251",-28.64,-36.74,
111,한화생명,"3,320",5,-0.15%,"5,000","28,835","868,530",8.10,"4,884,523",3.77,1.90,
112,CJ대한통운,"126,000",0,0.00%,"5,000","28,744","22,812",21.25,"36,016",97.60,3.89,
113,BNK금융지주,"8,800",30,-0.34%,"5,000","28,682","325,935",39.42,"1,588,327",3.52,6.11,
114,만도,"61,000","1,600",-2.56%,"1,000","28,644","46,957",20.94,"544,957",12.85,0.37,
115,포스코인터내셔널,"22,500",350,-1.53%,"5,000","27,759","123,375",6.96,"638,648",9.09,7.69,
116,에스원,"72,800",400,-0.55%,500,"27,663","37,999",52.98,"47,707",18.20,10.48,
117,두산퓨얼셀,"41,800","1,050",-2.45%,100,"27,376","65,494",14.24,"597,669",836.00,4.18,
118,대우조선해양,"25,150",400,-1.57%,"5,000","26,984","107,291",5.44,"391,574",-1.82,2.27,
119,키움증권,"101,000","1,000",-0.98%,"5,000","26,482","26,220",25.61,"67,968",2.90,27.63,
120,SK케미칼,"147,000","1,500",+1.03%,"5,000","25,903","17,621",16.55,"95,578",70.07,30.49,
121,제일기획,"22,300",200,-0.89%,200,"25,654","115,041",31.96,"206,816",13.14,16.11,
122,씨에스윈드,"60,800","1,500",-2.41%,500,"25,640","42,171",11.15,"147,324",55.17,8.19,
123,대우건설,"6,160",70,-1.12%,"5,000","25,602","415,623",11.23,"1,635,007",5.23,11.06,
124,한화에어로스페이스,"50,200",900,-1.76%,"5,000","25,416","50,630",16.55,"412,740",9.11,4.78,
125,DL이앤씨,"130,000","3,000",-2.26%,"5,000","25,166","19,359",25.66,"171,610",N/A,N/A,
126,LG화학우,"322,500","8,500",+2.71%,"5,000","24,796","7,689",70.28,"32,000",8.40,N/A,
127,OCI,"103,000","2,000",-1.90%,"5,000","24,565","23,849",15.86,"220,863",12.28,-9.89,
128,녹십자,"207,000","2,000",+0.98%,"5,000","24,191","11,687",22.75,"38,130",28.04,7.48,
129,롯데쇼핑,"85,300","1,500",-1.73%,"5,000","24,130","28,289",11.18,"79,127",-9.07,-7.70,
130,현대차우,"98,900",600,+0.61%,"5,000","24,089","24,357",57.67,"41,190",5.01,N/A,
131,효성첨단소재,"531,000","18,000",-3.28%,"5,000","23,789","4,480",10.03,"60,423",11.08,0.03,
132,BGF리테일,"137,500","1,500",-1.08%,"1,000","23,765","17,284",32.41,"29,825",17.20,18.60,
133,효성티앤씨,"546,000","55,000",-9.15%,"5,000","23,629","4,328",17.52,"126,475",3.34,25.10,
134,현대해상,"26,350",50,-0.19%,500,"23,557","89,400",25.64,"565,020",6.16,7.13,
135,신세계,"239,000","6,000",+2.58%,"5,000","23,530","9,845",24.03,"178,850",8.99,-2.81,
136,현대로템,"21,550",0,0.00%,"5,000","23,520","109,142",3.82,"639,477",75.09,2.84,
137,솔루스첨단소재,"76,600","2,600",-3.28%,100,"23,432","30,590",7.67,"305,705",-301.57,-5.10,
138,CJ,"80,300","1,200",-1.47%,"5,000","23,429","29,177",17.07,"59,674",69.58,1.89,
139,한화,"30,950",250,-0.80%,"5,000","23,200","74,959",15.96,"175,936",5.24,4.79,
140,KODEX 200선물인버스2X,"2,225",15,-0.67%,0,"22,495","1,011,000",5.05,"129,673,597",N/A,N/A,
141,KODEX MSCI Korea TR,"12,700",65,+0.51%,0,"22,225","175,000",3.25,"454,893",N/A,N/A,
142,TIGER 200,"39,330",140,+0.36%,0,"21,808","55,450",0.88,"872,673",N/A,N/A,
143,하이트진로,"30,350",200,-0.65%,"5,000","21,286","70,134",4.06,"165,724",41.35,8.23,
144,현대위아,"77,200","1,400",-1.78%,"5,000","20,995","27,195",6.31,"180,503",57.53,1.96,
145,영원무역,"47,100","1,300",-2.69%,500,"20,871","44,311",28.04,"123,738",9.05,8.03,
146,한샘,"88,600","2,000",+2.31%,"1,000","20,851","23,534",16.39,"78,362",26.07,10.83,
147,후성,"21,900",300,-1.35%,500,"20,281","92,607",7.48,"1,076,915",73.74,2.79,
148,더존비즈온,"66,100","2,000",-2.94%,500,"20,083","30,383",39.69,"117,698",32.35,15.09,
149,휠라홀딩스,"32,550","1,050",-3.12%,"1,000","19,775","60,752",43.69,"481,692",8.41,10.94,
150,농심,"316,500","6,500",-2.01%,"5,000","19,252","6,083",12.69,"22,581",18.04,7.50,
151,효성,"90,800","1,200",-1.30%,"5,000","19,132","21,071",8.15,"44,277",4.94,-2.26,
152,롯데정밀화학,"73,300","1,100",-1.48%,"5,000","18,911","25,800",22.22,"104,547",4.44,12.65,
153,일진하이솔루스,"51,900",300,+0.58%,500,"18,847","36,313",3.01,"123,664",96.83,34.27,
154,KODEX 레버리지,"23,135",150,+0.65%,0,"18,601","80,400",2.05,"15,382,148",N/A,N/A,
155,코오롱인더,"67,100","3,200",-4.55%,"5,000","18,465","27,519",19.09,"463,105",10.41,9.70,
156,두산,"111,000","4,000",-3.48%,"5,000","18,341","16,524",10.28,"59,266",-63.94,-34.34,
